,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj verb adj noun,,,,,,,,,,,,
adj verb adj verb,,,,,,,,,,,,
adj verb adp,,,,,,,,,,,,
adj verb adp noun,,,,,,,,,,,,
adj verb emoji,,,,,,,,,,,,
adj verb emoji propn,,,,,,,,,,,,
adj verb noun,,,,,,,,,,,,
adj verb noun noun,,,,,,,,,,,,
adj verb noun pron,,,,,,,,,,,,
adj verb noun verb,,,,,,,,,,,,
adj verb num,,,,,,,,,,,,
adj verb num adj,,,,,,,,,,,,
adj verb num noun,,,,,,,,,,,,
adj verb pron,,,,,,,,,,,,
adj verb pron adv,,,,,,,,,,,,
adj verb pron verb,,,,,,,,,,,,
adj verb propn,,,,,,,,,,,,
adj verb propn noun,,,,,,,,,,,,
adj verb verb,,,,,,,,,,,,
adj verb verb adj,,,,,,,,,,,,
adj verb verb intj,,,,,,,,,,,,
adj verb verb noun,,,,,,,,,,,,
adj verb verb propn,,,,,,,,,,,,
adj verb verb verb,,,,,,,,,,,,
adp adj,,,,,,,,,,,,
adp adj adj,,,,,,,,,,,,
adp adj adj emoji,,,,,,,,,,,,
adp adj noun,,,,,,,,,,,,
adp adj noun adj,,,,,,,,,,,,
adp adj noun pron,,,,,,,,,,,,
adp adj num,,,,,,,,,,,,
adp adj num noun,,,,,,,,,,,,
adp adj propn,,,,,,,,,,,,
adp adj propn adv,,,,,,,,,,,,
adp adp,,,,,,,,,,,,
adp adp noun,,,,,,,,,,,,
adp adp noun noun,,,,,,,,,,,,
adp intj,,,,,,,,,,,,
adp intj noun,,,,,,,,,,,,
adp intj noun noun,,,,,,,,,,,,
adp noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adp noun adj,,,,,,,,,,,,
adp noun adj noun,,,,,,,,,,,,
adp noun noun,,,,,,,,,,,,
adp noun noun noun,,,,,,,,,,,,
adp noun noun pron,,,,,,,,,,,,
adp noun noun verb,,,,,,,,,,,,
adp noun pron,,,,,,,,,,,,
adp noun pron verb,,,,,,,,,,,,
adp noun propn,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adp noun propn adv,,,,,,,,,,,,
adp noun propn verb,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adp noun verb,,,,,,,,,,,,
adp noun verb adj,,,,,,,,,,,,
adp noun verb adv,,,,,,,,,,,,
adp noun verb noun,,,,,,,,,,,,
adp noun verb verb,,,,,,,,,,,,
adp num,,,,,,,,,,,,
adp num noun,,,,,,,,,,,,
adp num noun adv,,,,,,,,,,,,
adp num verb,,,,,,,,,,,,
adp num verb noun,,,,,,,,,,,,
adp num verb num,,,,,,,,,,,,
adp pron,,,,,,,,,,,,
adp pron verb,,,,,,,,,,,,
adp pron verb noun,,,,,,,,,,,,
adp propn,,,,,,,,,,,,
adp propn adv,,,,,,,,,,,,
adp propn adv adv,,,,,,,,,,,,
adp propn noun,,,,,,,,,,,,
adp propn num,,,,,,,,,,,,
adp propn num noun,,,,,,,,,,,,
adp propn pron,,,,,,,,,,,,
adp propn pron verb,,,,,,,,,,,,
adp propn propn,,,,,,,,,,,,
adp propn propn adj,,,,,,,,,,,,
adp propn propn propn,,,,,,,,,,,,
adp propn propn verb,,,,,,,,,,,,
adp propn verb,,,,,,,,,,,,
adp propn verb noun,,,,,,,,,,,,
adp verb,,,,,,,,,,,,
adp verb adj,,,,,,,,,,,,
adp verb adj noun,,,,,,,,,,,,
adp verb emoji,,,,,,,,,,,,
adp verb noun,,,,,,,,,,,,
adp verb noun noun,,,,,,,,,,,,
adp verb noun propn,,,,,,,,,,,,
adp verb pron,,,,,,,,,,,,
adp verb pron noun,,,,,,,,,,,,
adp verb verb,,,,,,,,,,,,
adp verb verb adv,,,,,,,,,,,,
adp verb verb noun,,,,,,,,,,,,
adv adj,,,,,,,,,,,,
adv adj adj,,,,,,,,,,,,
adv adj adj noun,,,,,,,,,,,,
adv adj adj pron,,,,,,,,,,,,
adv adj adv,,,,,,,,,,,,
adv adj adv adj,,,,,,,,,,,,
adv adj adv verb,,,,,,,,,,,,
adv adj intj,,,,,,,,,,,,
adv adj intj pron,,,,,,,,,,,,
adv adj noun,,,,,,,,,,,,
adv adj noun adj,,,,,,,,,,,,
adv adj noun adv,,,,,,,,,,,,
adv adj noun noun,,,,,,,,,,,,
adv adj noun pron,,,,,,,,,,,,
adv adj noun verb,,,,,,,,,,,,
adv adj pron,,,,,,,,,,,,
adv adj pron adj,,,,,,,,,,,,
adv adj pron verb,,,,,,,,,,,,
adv adj propn,,,,,,,,,,,,
adv adj propn noun,,,,,,,,,,,,
adv adj propn propn,,,,,,,,,,,,
adv adj verb,,,,,,,,,,,,
adv adj verb adj,,,,,,,,,,,,
adv adj verb noun,,,,,,,,,,,,
adv adj verb pron,,,,,,,,,,,,
