,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj adv pron,,,,,,,,,,,,
adj adv pron adv,,,,,,,,,,,,
adj adv pron aux,,,,,,,,,,,,
adj adv pron verb,,,,,,,,,,,,
adj adv propn,,,,,,,,,,,,
adj adv propn punct,,,,,,,,,,,,
adj adv punct,,,,,,,,,,,,
adj adv punct aux,,,,,,,,,,,,
adj adv punct det,,,,,,,,,,,,
adj adv punct pron,,,,,,,,,,,,
adj adv punct punct,,,,,,,,,,,,
adj adv sconj,,,,,,,,,,,,
adj adv sconj pron,,,,,,,,,,,,
adj adv verb,,,,,,,,,,,,
adj adv verb adp,,,,,,,,,,,,
adj adv verb det,,,,,,,,,,,,
adj adv verb pron,,,,,,,,,,,,
adj adv verb sconj,,,,,,,,,,,,
adj adv verb verb,,,,,,,,,,,,
adj aux,,,,,,,,,,,,
adj aux adj,,,,,,,,,,,,
adj aux adv,,,,,,,,,,,,
adj aux adv det,,,,,,,,,,,,
adj aux adv verb,,,,,,,,,,,,
adj aux det,,,,,,,,,,,,
adj aux det adj,,,,,,,,,,,,
adj aux det noun,,,,,,,,,,,,
adj aux det punct,,,,,,,,,,,,
adj aux noun,,,,,,,,,,,,
adj aux pron,,,,,,,,,,,,
adj aux pron verb,,,,,,,,,,,,
adj aux verb,,,,,,,,,,,,
adj aux verb adp,,,,,,,,,,,,
adj aux verb aux,,,,,,,,,,,,
adj aux verb det,,,,,,,,,,,,
adj aux verb noun,,,,,,,,,,,,
adj cconj,-0.41736500618415145,0.4103036364236828,0.1391216687280505,0.7926638356375505,-0.41736500618415145,0.4103036364236828,0.6956083436402525,0.12487982574290808,-0.41736500618415145,0.4103036364236828,0.41736500618415145,0.4103036364236828
adj cconj adj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj cconj adj adp,,,,,,,,,,,,
adj cconj adj adv,,,,,,,,,,,,
adj cconj adj cconj,,,,,,,,,,,,
adj cconj adj det,,,,,,,,,,,,
adj cconj adj intj,,,,,,,,,,,,
adj cconj adj noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj cconj adj pron,,,,,,,,,,,,
adj cconj adj punct,,,,,,,,,,,,
adj cconj adv,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj cconj adv adj,,,,,,,,,,,,
adj cconj adv adv,,,,,,,,,,,,
adj cconj adv noun,,,,,,,,,,,,
adj cconj adv verb,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj cconj aux,,,,,,,,,,,,
adj cconj aux adj,,,,,,,,,,,,
adj cconj aux aux,,,,,,,,,,,,
adj cconj aux pron,,,,,,,,,,,,
adj cconj det,,,,,,,,,,,,
adj cconj det noun,,,,,,,,,,,,
