,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj noun num noun,,,,,,,,,,,,
adj noun pron,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun pron adj,,,,,,,,,,,,
adj noun pron adv,,,,,,,,,,,,
adj noun pron noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adj noun pron num,,,,,,,,,,,,
adj noun pron pron,,,,,,,,,,,,
adj noun pron verb,,,,,,,,,,,,
adj noun propn,,,,,,,,,,,,
adj noun propn adj,,,,,,,,,,,,
adj noun propn emoji,,,,,,,,,,,,
adj noun propn noun,,,,,,,,,,,,
adj noun propn pron,,,,,,,,,,,,
adj noun propn propn,,,,,,,,,,,,
adj noun propn verb,,,,,,,,,,,,
adj noun verb,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465
adj noun verb adj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj noun verb adp,,,,,,,,,,,,
adj noun verb adv,,,,,,,,,,,,
adj noun verb emoji,,,,,,,,,,,,
adj noun verb noun,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj noun verb num,,,,,,,,,,,,
adj noun verb pron,,,,,,,,,,,,
adj noun verb propn,,,,,,,,,,,,
adj noun verb verb,,,,,,,,,,,,
adj num,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj num adj,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj num adj noun,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj num intj,,,,,,,,,,,,
adj num intj num,,,,,,,,,,,,
adj num noun,,,,,,,,,,,,
adj num noun pron,,,,,,,,,,,,
adj num noun propn,,,,,,,,,,,,
adj num noun verb,,,,,,,,,,,,
adj num num,,,,,,,,,,,,
adj num pron,,,,,,,,,,,,
adj num pron noun,,,,,,,,,,,,
adj pron,,,,,,,,,,,,
adj pron adj,,,,,,,,,,,,
adj pron adj adv,,,,,,,,,,,,
adj pron adj intj,,,,,,,,,,,,
adj pron adj noun,,,,,,,,,,,,
adj pron adj pron,,,,,,,,,,,,
adj pron adv,,,,,,,,,,,,
adj pron adv adv,,,,,,,,,,,,
adj pron adv verb,,,,,,,,,,,,
adj pron emoji,,,,,,,,,,,,
adj pron noun,,,,,,,,,,,,
adj pron noun adv,,,,,,,,,,,,
adj pron noun emoji,,,,,,,,,,,,
adj pron noun pron,,,,,,,,,,,,
adj pron verb,,,,,,,,,,,,
adj pron verb adj,,,,,,,,,,,,
adj pron verb intj,,,,,,,,,,,,
adj pron verb noun,,,,,,,,,,,,
adj pron verb num,,,,,,,,,,,,
adj pron verb pron,,,,,,,,,,,,
adj pron verb propn,,,,,,,,,,,,
adj pron verb verb,,,,,,,,,,,,
adj propn,,,,,,,,,,,,
adj propn adj,,,,,,,,,,,,
adj propn adj adj,,,,,,,,,,,,
adj propn adj pron,,,,,,,,,,,,
adj propn adv,,,,,,,,,,,,
adj propn adv adj,,,,,,,,,,,,
adj propn emoji,,,,,,,,,,,,
adj propn intj,,,,,,,,,,,,
adj propn intj verb,,,,,,,,,,,,
adj propn noun,,,,,,,,,,,,
adj propn noun adj,,,,,,,,,,,,
adj propn noun noun,,,,,,,,,,,,
adj propn noun num,,,,,,,,,,,,
adj propn noun propn,,,,,,,,,,,,
adj propn noun verb,,,,,,,,,,,,
adj propn num,,,,,,,,,,,,
adj propn num adv,,,,,,,,,,,,
adj propn pron,,,,,,,,,,,,
adj propn pron verb,,,,,,,,,,,,
adj propn propn,,,,,,,,,,,,
adj propn propn adv,,,,,,,,,,,,
adj propn propn propn,,,,,,,,,,,,
adj propn propn verb,,,,,,,,,,,,
adj propn verb,,,,,,,,,,,,
adj propn verb adj,,,,,,,,,,,,
adj propn verb adv,,,,,,,,,,,,
adj propn verb noun,,,,,,,,,,,,
adj propn verb verb,,,,,,,,,,,,
adj verb,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
adj verb adj,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj verb adj adj,,,,,,,,,,,,
adj verb adj adv,,,,,,,,,,,,
adj verb adj noun,,,,,,,,,,,,
adj verb adj propn,,,,,,,,,,,,
adj verb adj verb,,,,,,,,,,,,
adj verb adv,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adj verb adv adj,,,,,,,,,,,,
adj verb adv adv,,,,,,,,,,,,
adj verb adv intj,,,,,,,,,,,,
adj verb adv noun,,,,,,,,,,,,
adj verb adv pron,,,,,,,,,,,,
adj verb adv propn,,,,,,,,,,,,
adj verb adv verb,,,,,,,,,,,,
adj verb emoji,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj verb intj,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj verb intj adj,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adj verb noun,,,,,,,,,,,,
adj verb noun adj,,,,,,,,,,,,
adj verb noun adv,,,,,,,,,,,,
adj verb noun noun,,,,,,,,,,,,
adj verb noun propn,,,,,,,,,,,,
adj verb noun verb,,,,,,,,,,,,
adj verb num,,,,,,,,,,,,
adj verb pron,,,,,,,,,,,,
adj verb pron adv,,,,,,,,,,,,
adj verb pron emoji,,,,,,,,,,,,
adj verb pron verb,,,,,,,,,,,,
adj verb propn,,,,,,,,,,,,
adj verb propn noun,,,,,,,,,,,,
adj verb propn propn,,,,,,,,,,,,
adj verb propn verb,,,,,,,,,,,,
adj verb verb,,,,,,,,,,,,
adj verb verb adj,,,,,,,,,,,,
adj verb verb adv,,,,,,,,,,,,
adj verb verb emoji,,,,,,,,,,,,
adj verb verb noun,,,,,,,,,,,,
adj verb verb verb,,,,,,,,,,,,
adp adj,,,,,,,,,,,,
adp adj adj,,,,,,,,,,,,
adp adj adj noun,,,,,,,,,,,,
adp adj noun,,,,,,,,,,,,
adp adj noun adv,,,,,,,,,,,,
adp adj noun emoji,,,,,,,,,,,,
adp adj noun noun,,,,,,,,,,,,
adp adj noun propn,,,,,,,,,,,,
adp adj noun verb,,,,,,,,,,,,
adp adp,,,,,,,,,,,,
adp adp noun,,,,,,,,,,,,
adp adp noun noun,,,,,,,,,,,,
adp adp noun verb,,,,,,,,,,,,
adp adv,,,,,,,,,,,,
adp adv verb,,,,,,,,,,,,
adp emoji,,,,,,,,,,,,
adp intj,,,,,,,,,,,,
adp intj intj,,,,,,,,,,,,
adp intj intj verb,,,,,,,,,,,,
adp noun,0.4472135954999579,0.373900966300059,-0.4472135954999579,0.373900966300059,-0.4472135954999579,0.373900966300059,-0.4472135954999579,0.373900966300059,0.4472135954999579,0.373900966300059,0.4472135954999579,0.373900966300059
adp noun adj,,,,,,,,,,,,
adp noun adj noun,,,,,,,,,,,,
adp noun adv,,,,,,,,,,,,
adp noun adv adj,,,,,,,,,,,,
adp noun emoji,,,,,,,,,,,,
adp noun noun,,,,,,,,,,,,
adp noun noun adj,,,,,,,,,,,,
adp noun noun emoji,,,,,,,,,,,,
adp noun noun noun,,,,,,,,,,,,
adp noun noun pron,,,,,,,,,,,,
adp noun noun propn,,,,,,,,,,,,
adp noun pron,,,,,,,,,,,,
adp noun pron adv,,,,,,,,,,,,
adp noun pron noun,,,,,,,,,,,,
adp noun pron verb,,,,,,,,,,,,
adp noun propn,,,,,,,,,,,,
adp noun verb,,,,,,,,,,,,
adp noun verb adj,,,,,,,,,,,,
adp noun verb emoji,,,,,,,,,,,,
adp noun verb intj,,,,,,,,,,,,
adp noun verb noun,,,,,,,,,,,,
adp noun verb propn,,,,,,,,,,,,
adp noun verb verb,,,,,,,,,,,,
adp num,,,,,,,,,,,,
adp num noun,,,,,,,,,,,,
adp num noun adj,,,,,,,,,,,,
adp num noun noun,,,,,,,,,,,,
adp num verb,,,,,,,,,,,,
adp num verb noun,,,,,,,,,,,,
adp pron,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adp pron adj,,,,,,,,,,,,
adp pron adj adj,,,,,,,,,,,,
adp pron adv,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adp pron adv verb,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adp pron noun,,,,,,,,,,,,
adp pron noun noun,,,,,,,,,,,,
adp pron noun verb,,,,,,,,,,,,
adp pron verb,,,,,,,,,,,,
adp pron verb noun,,,,,,,,,,,,
adp propn,,,,,,,,,,,,
adp propn adj,,,,,,,,,,,,
adp propn adj noun,,,,,,,,,,,,
adp propn adp,,,,,,,,,,,,
adp propn adp propn,,,,,,,,,,,,
adp propn adv,,,,,,,,,,,,
adp propn noun,,,,,,,,,,,,
adp propn noun adj,,,,,,,,,,,,
adp propn noun noun,,,,,,,,,,,,
adp propn noun verb,,,,,,,,,,,,
adp propn propn,,,,,,,,,,,,
adp propn propn num,,,,,,,,,,,,
adp propn verb,,,,,,,,,,,,
adp propn verb adp,,,,,,,,,,,,
adp propn verb noun,,,,,,,,,,,,
adp propn verb propn,,,,,,,,,,,,
adp verb,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adp verb noun,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adp verb noun adv,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848
adp verb noun noun,,,,,,,,,,,,
adp verb noun pron,,,,,,,,,,,,
adp verb pron,,,,,,,,,,,,
adp verb pron verb,,,,,,,,,,,,
adp verb propn,,,,,,,,,,,,
adp verb propn noun,,,,,,,,,,,,
adp verb propn propn,,,,,,,,,,,,
adp verb verb,,,,,,,,,,,,
adv adj,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
adv adj adj,,,,,,,,,,,,
adv adj adj adj,,,,,,,,,,,,
adv adj adj noun,,,,,,,,,,,,
adv adj adv,,,,,,,,,,,,
adv adj adv adj,,,,,,,,,,,,
adv adj adv adv,,,,,,,,,,,,
adv adj emoji,,,,,,,,,,,,
adv adj emoji noun,,,,,,,,,,,,
adv adj intj,,,,,,,,,,,,
adv adj intj verb,,,,,,,,,,,,
adv adj noun,,,,,,,,,,,,
adv adj noun adj,,,,,,,,,,,,
adv adj noun adv,,,,,,,,,,,,
adv adj noun emoji,,,,,,,,,,,,
adv adj noun noun,,,,,,,,,,,,
adv adj noun pron,,,,,,,,,,,,
adv adj noun propn,,,,,,,,,,,,
adv adj noun verb,,,,,,,,,,,,
adv adj pron,,,,,,,,,,,,
adv adj pron noun,,,,,,,,,,,,
adv adj pron verb,,,,,,,,,,,,
adv adj propn,,,,,,,,,,,,
adv adj propn adj,,,,,,,,,,,,
adv adj propn num,,,,,,,,,,,,
adv adj propn verb,,,,,,,,,,,,
adv adj verb,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv adj verb adj,,,,,,,,,,,,
adv adj verb adv,,,,,,,,,,,,
adv adj verb noun,,,,,,,,,,,,
adv adj verb verb,,,,,,,,,,,,
adv adp,,,,,,,,,,,,
adv adp noun,,,,,,,,,,,,
adv adp noun noun,,,,,,,,,,,,
adv adv,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
adv adv adj,,,,,,,,,,,,
adv adv adj noun,,,,,,,,,,,,
adv adv adj verb,,,,,,,,,,,,
adv adv adv,,,,,,,,,,,,
adv adv emoji,,,,,,,,,,,,
adv adv emoji emoji,,,,,,,,,,,,
adv adv noun,,,,,,,,,,,,
adv adv noun noun,,,,,,,,,,,,
adv adv noun num,,,,,,,,,,,,
adv adv num,,,,,,,,,,,,
adv adv num noun,,,,,,,,,,,,
adv adv pron,,,,,,,,,,,,
adv adv pron adj,,,,,,,,,,,,
adv adv pron noun,,,,,,,,,,,,
adv adv verb,,,,,,,,,,,,
adv adv verb noun,,,,,,,,,,,,
adv adv verb pron,,,,,,,,,,,,
adv adv verb propn,,,,,,,,,,,,
adv emoji,,,,,,,,,,,,
adv emoji emoji,,,,,,,,,,,,
adv emoji emoji emoji,,,,,,,,,,,,
adv emoji emoji noun,,,,,,,,,,,,
adv intj,,,,,,,,,,,,
adv intj num,,,,,,,,,,,,
adv intj num noun,,,,,,,,,,,,
adv intj propn,,,,,,,,,,,,
adv intj propn propn,,,,,,,,,,,,
adv intj propn verb,,,,,,,,,,,,
adv intj verb,,,,,,,,,,,,
adv intj verb pron,,,,,,,,,,,,
adv noun,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv noun adj,,,,,,,,,,,,
adv noun adj adj,,,,,,,,,,,,
adv noun adj noun,,,,,,,,,,,,
adv noun adj verb,,,,,,,,,,,,
adv noun adp,,,,,,,,,,,,
adv noun adp propn,,,,,,,,,,,,
adv noun adv,,,,,,,,,,,,
adv noun adv adj,,,,,,,,,,,,
adv noun emoji,,,,,,,,,,,,
adv noun emoji adv,,,,,,,,,,,,
adv noun intj,,,,,,,,,,,,
adv noun intj pron,,,,,,,,,,,,
adv noun noun,,,,,,,,,,,,
adv noun noun adj,,,,,,,,,,,,
adv noun noun intj,,,,,,,,,,,,
adv noun noun noun,,,,,,,,,,,,
adv noun noun verb,,,,,,,,,,,,
adv noun num,,,,,,,,,,,,
adv noun num noun,,,,,,,,,,,,
adv noun num propn,,,,,,,,,,,,
adv noun pron,,,,,,,,,,,,
adv noun pron noun,,,,,,,,,,,,
adv noun pron verb,,,,,,,,,,,,
adv noun propn,,,,,,,,,,,,
adv noun propn adj,,,,,,,,,,,,
adv noun propn adv,,,,,,,,,,,,
adv noun propn verb,,,,,,,,,,,,
adv noun verb,,,,,,,,,,,,
adv noun verb adj,,,,,,,,,,,,
adv noun verb adv,,,,,,,,,,,,
adv noun verb noun,,,,,,,,,,,,
adv noun verb verb,,,,,,,,,,,,
adv num,,,,,,,,,,,,
adv num noun,,,,,,,,,,,,
adv num noun adv,,,,,,,,,,,,
adv num noun noun,,,,,,,,,,,,
adv num noun verb,,,,,,,,,,,,
adv num pron,,,,,,,,,,,,
adv num pron adv,,,,,,,,,,,,
adv num pron verb,,,,,,,,,,,,
adv pron,,,,,,,,,,,,
adv pron adj,,,,,,,,,,,,
adv pron adj adj,,,,,,,,,,,,
adv pron adj noun,,,,,,,,,,,,
adv pron adj pron,,,,,,,,,,,,
adv pron adj verb,,,,,,,,,,,,
adv pron intj,,,,,,,,,,,,
adv pron intj adj,,,,,,,,,,,,
adv pron noun,,,,,,,,,,,,
adv pron noun adj,,,,,,,,,,,,
adv pron propn,,,,,,,,,,,,
adv pron propn propn,,,,,,,,,,,,
adv pron verb,,,,,,,,,,,,
adv pron verb adj,,,,,,,,,,,,
adv pron verb adp,,,,,,,,,,,,
adv pron verb adv,,,,,,,,,,,,
adv pron verb noun,,,,,,,,,,,,
adv pron verb pron,,,,,,,,,,,,
adv pron verb propn,,,,,,,,,,,,
adv pron verb verb,,,,,,,,,,,,
adv propn,,,,,,,,,,,,
adv propn adv,,,,,,,,,,,,
adv propn adv emoji,,,,,,,,,,,,
adv propn emoji,,,,,,,,,,,,
adv propn emoji propn,,,,,,,,,,,,
adv propn noun,,,,,,,,,,,,
adv propn noun adj,,,,,,,,,,,,
adv propn noun adv,,,,,,,,,,,,
adv propn noun noun,,,,,,,,,,,,
adv propn noun propn,,,,,,,,,,,,
adv propn pron,,,,,,,,,,,,
adv propn pron adj,,,,,,,,,,,,
adv propn pron verb,,,,,,,,,,,,
adv propn propn,,,,,,,,,,,,
adv propn propn noun,,,,,,,,,,,,
adv propn propn verb,,,,,,,,,,,,
adv propn verb,,,,,,,,,,,,
adv propn verb adj,,,,,,,,,,,,
adv propn verb adp,,,,,,,,,,,,
adv propn verb noun,,,,,,,,,,,,
adv propn verb verb,,,,,,,,,,,,
adv verb,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
adv verb adj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adv verb adj noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704
adv verb adj propn,,,,,,,,,,,,
adv verb adj verb,,,,,,,,,,,,
adv verb adp,,,,,,,,,,,,
adv verb adp propn,,,,,,,,,,,,
adv verb adv,,,,,,,,,,,,
adv verb adv noun,,,,,,,,,,,,
adv verb adv verb,,,,,,,,,,,,
adv verb noun,,,,,,,,,,,,
adv verb noun adj,,,,,,,,,,,,
adv verb noun adv,,,,,,,,,,,,
adv verb noun emoji,,,,,,,,,,,,
adv verb noun intj,,,,,,,,,,,,
adv verb noun noun,,,,,,,,,,,,
adv verb noun num,,,,,,,,,,,,
adv verb noun pron,,,,,,,,,,,,
adv verb noun propn,,,,,,,,,,,,
adv verb noun verb,,,,,,,,,,,,
adv verb num,,,,,,,,,,,,
adv verb num noun,,,,,,,,,,,,
adv verb num num,,,,,,,,,,,,
adv verb pron,,,,,,,,,,,,
adv verb pron adj,,,,,,,,,,,,
adv verb pron adv,,,,,,,,,,,,
adv verb pron noun,,,,,,,,,,,,
adv verb pron pron,,,,,,,,,,,,
adv verb pron verb,,,,,,,,,,,,
adv verb propn,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv verb propn adj,,,,,,,,,,,,
adv verb propn adv,,,,,,,,,,,,
adv verb propn noun,,,,,,,,,,,,
adv verb propn num,,,,,,,,,,,,
adv verb propn propn,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv verb propn verb,,,,,,,,,,,,
adv verb verb,,,,,,,,,,,,
adv verb verb adj,,,,,,,,,,,,
adv verb verb noun,,,,,,,,,,,,
adv verb verb pron,,,,,,,,,,,,
adv verb verb verb,,,,,,,,,,,,
emoji adj,,,,,,,,,,,,
emoji adj noun,,,,,,,,,,,,
emoji adv,,,,,,,,,,,,
emoji adv emoji,,,,,,,,,,,,
emoji adv emoji emoji,,,,,,,,,,,,
emoji adv verb,,,,,,,,,,,,
emoji adv verb noun,,,,,,,,,,,,
emoji emoji,,,,,,,,,,,,
emoji emoji emoji,,,,,,,,,,,,
emoji emoji emoji emoji,,,,,,,,,,,,
emoji emoji emoji noun,,,,,,,,,,,,
emoji emoji emoji verb,,,,,,,,,,,,
emoji emoji noun,,,,,,,,,,,,
emoji emoji noun adj,,,,,,,,,,,,
emoji emoji noun adv,,,,,,,,,,,,
emoji emoji noun emoji,,,,,,,,,,,,
emoji emoji noun verb,,,,,,,,,,,,
emoji emoji verb,,,,,,,,,,,,
