,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj verb intj,,,,,,,,,,,,
adj verb intj verb,,,,,,,,,,,,
adj verb noun,,,,,,,,,,,,
adj verb noun noun,,,,,,,,,,,,
adj verb noun verb,,,,,,,,,,,,
adj verb propn,,,,,,,,,,,,
adj verb propn noun,,,,,,,,,,,,
adj verb propn propn,,,,,,,,,,,,
adj verb propn verb,,,,,,,,,,,,
adj verb verb,,,,,,,,,,,,
adj verb verb adj,,,,,,,,,,,,
adj verb verb noun,,,,,,,,,,,,
adp adj,,,,,,,,,,,,
adp adj noun,,,,,,,,,,,,
adp adj noun adj,,,,,,,,,,,,
adp adj noun noun,,,,,,,,,,,,
adp adj propn,,,,,,,,,,,,
adp adj propn adv,,,,,,,,,,,,
adp adj verb,,,,,,,,,,,,
adp adp,,,,,,,,,,,,
adp adp adp,,,,,,,,,,,,
adp emoji,,,,,,,,,,,,
adp emoji adp,,,,,,,,,,,,
adp emoji adp emoji,,,,,,,,,,,,
adp intj,,,,,,,,,,,,
adp noun,,,,,,,,,,,,
adp noun emoji,,,,,,,,,,,,
adp noun intj,,,,,,,,,,,,
adp noun intj verb,,,,,,,,,,,,
adp noun noun,,,,,,,,,,,,
adp noun noun noun,,,,,,,,,,,,
adp noun propn,,,,,,,,,,,,
adp noun propn emoji,,,,,,,,,,,,
adp noun propn noun,,,,,,,,,,,,
adp noun verb,,,,,,,,,,,,
adp num,,,,,,,,,,,,
adp num emoji,,,,,,,,,,,,
adp num emoji noun,,,,,,,,,,,,
adp num propn,,,,,,,,,,,,
adp num propn propn,,,,,,,,,,,,
adp pron,,,,,,,,,,,,
adp pron adv,,,,,,,,,,,,
adp pron adv verb,,,,,,,,,,,,
adp pron verb,,,,,,,,,,,,
adp propn,,,,,,,,,,,,
adp propn noun,,,,,,,,,,,,
adp propn noun noun,,,,,,,,,,,,
adp propn propn,,,,,,,,,,,,
adp propn propn emoji,,,,,,,,,,,,
adp propn propn verb,,,,,,,,,,,,
adp propn verb,,,,,,,,,,,,
adp propn verb adv,,,,,,,,,,,,
adp verb,,,,,,,,,,,,
adp verb adj,,,,,,,,,,,,
adp verb adj num,,,,,,,,,,,,
adp verb adj verb,,,,,,,,,,,,
adp verb noun,,,,,,,,,,,,
adv adj,,,,,,,,,,,,
adv adj adj,,,,,,,,,,,,
adv adj adj noun,,,,,,,,,,,,
adv adj noun,,,,,,,,,,,,
adv adj noun adv,,,,,,,,,,,,
adv adj noun intj,,,,,,,,,,,,
adv adj noun noun,,,,,,,,,,,,
adv adj noun propn,,,,,,,,,,,,
adv adj propn,,,,,,,,,,,,
adv adj propn propn,,,,,,,,,,,,
adv adj verb,,,,,,,,,,,,
adv adj verb verb,,,,,,,,,,,,
adv adp,,,,,,,,,,,,
adv adp noun,,,,,,,,,,,,
adv adp verb,,,,,,,,,,,,
adv adv,,,,,,,,,,,,
adv adv noun,,,,,,,,,,,,
adv adv noun pron,,,,,,,,,,,,
adv adv pron,,,,,,,,,,,,
adv adv verb,,,,,,,,,,,,
adv adv verb verb,,,,,,,,,,,,
adv emoji,,,,,,,,,,,,
adv emoji propn,,,,,,,,,,,,
adv intj,,,,,,,,,,,,
adv intj adj,,,,,,,,,,,,
adv intj adj noun,,,,,,,,,,,,
adv noun,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv noun adj,,,,,,,,,,,,
adv noun adj noun,,,,,,,,,,,,
adv noun adj propn,,,,,,,,,,,,
adv noun adv,,,,,,,,,,,,
adv noun adv noun,,,,,,,,,,,,
adv noun emoji,,,,,,,,,,,,
adv noun emoji emoji,,,,,,,,,,,,
adv noun noun,,,,,,,,,,,,
adv noun noun adj,,,,,,,,,,,,
adv noun noun verb,,,,,,,,,,,,
adv noun pron,,,,,,,,,,,,
adv noun propn,,,,,,,,,,,,
adv noun propn noun,,,,,,,,,,,,
adv noun propn propn,,,,,,,,,,,,
adv noun verb,,,,,,,,,,,,
adv noun verb intj,,,,,,,,,,,,
adv noun verb noun,,,,,,,,,,,,
adv noun verb propn,,,,,,,,,,,,
adv num,,,,,,,,,,,,
adv num noun,,,,,,,,,,,,
adv num pron,,,,,,,,,,,,
adv num pron adj,,,,,,,,,,,,
adv pron,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv pron adv,,,,,,,,,,,,
adv pron adv verb,,,,,,,,,,,,
adv pron verb,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv pron verb noun,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv pron verb pron,,,,,,,,,,,,
adv pron verb propn,,,,,,,,,,,,
adv pron verb verb,,,,,,,,,,,,
adv propn,,,,,,,,,,,,
adv propn noun,,,,,,,,,,,,
adv propn pron,,,,,,,,,,,,
adv propn pron verb,,,,,,,,,,,,
adv propn propn,,,,,,,,,,,,
adv propn verb,,,,,,,,,,,,
adv propn verb verb,,,,,,,,,,,,
adv verb,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv verb adj,,,,,,,,,,,,
adv verb adj noun,,,,,,,,,,,,
adv verb adj verb,,,,,,,,,,,,
adv verb adp,,,,,,,,,,,,
adv verb adp noun,,,,,,,,,,,,
adv verb adv,,,,,,,,,,,,
adv verb adv noun,,,,,,,,,,,,
adv verb adv verb,,,,,,,,,,,,
adv verb noun,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv verb noun adp,,,,,,,,,,,,
adv verb noun emoji,,,,,,,,,,,,
adv verb noun intj,,,,,,,,,,,,
adv verb noun noun,,,,,,,,,,,,
adv verb noun propn,,,,,,,,,,,,
adv verb noun verb,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
adv verb num,,,,,,,,,,,,
adv verb num noun,,,,,,,,,,,,
adv verb pron,,,,,,,,,,,,
adv verb pron propn,,,,,,,,,,,,
adv verb pron verb,,,,,,,,,,,,
adv verb propn,,,,,,,,,,,,
adv verb propn noun,,,,,,,,,,,,
adv verb propn propn,,,,,,,,,,,,
adv verb verb,,,,,,,,,,,,
adv verb verb adp,,,,,,,,,,,,
adv verb verb noun,,,,,,,,,,,,
adv verb verb verb,,,,,,,,,,,,
emoji adj,,,,,,,,,,,,
emoji adj adj,,,,,,,,,,,,
emoji adj propn,,,,,,,,,,,,
emoji adp,,,,,,,,,,,,
emoji adp emoji,,,,,,,,,,,,
emoji adp emoji adp,,,,,,,,,,,,
emoji emoji,0.7745966692414834,0.07048399691021993,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,-0.3098386676965934,0.5501142545045465,0.46475800154489,0.3530568618495133,-0.3098386676965934,0.5501142545045465
