,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
agenda moved,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
agenda moved forward,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
ago aqui,,,,,,
ago disgust,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
ago disgust lie,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
agree china,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
agree china virus,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
ah haaa,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
ah haaa biden,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
aisle ste,,,,,,
al pay,,,,,,
al pay taxi,,,,,,
alive lol,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
allow sicken,0.632455532033676,0.632455532033676,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838
alternative fact,,,,,,
amalak evil,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
amalak evil kamala,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
amamos trump,,,,,,
amamos trump gracias,,,,,,
amazing president,,,,,,
amazing president politician,,,,,,
ambassador daughter,,,,,,
ambassador daughter lie,,,,,,
america amen,,,,,,
america great,,,,,,
america great year,,,,,,
america hate,,,,,,
america hate love,,,,,,
america love,,,,,,
america love donald,,,,,,
america patriot,,,,,,
america patriot great,,,,,,
america police,,,,,,
america police stop,,,,,,
america president,,,,,,
america president trump,,,,,,
america sad,,,,,,
america start,,,,,,
america start war,,,,,,
america starve,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
america starve right,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
america thank,,,,,,
america thank vote,,,,,,
america track,,,,,,
america track end,,,,,,
america trump,,,,,,
america trump 2020,,,,,,
america trump rock,,,,,,
american grow,,,,,,
american grow people,,,,,,
american hero,,,,,,
american manufacturing,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
american manufacturing shut,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
american patriot,,,,,,
american people,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
american people hate,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
american people way,,,,,,
american president,,,,,,
american public,,,,,,
american public iraqis,,,,,,
american support,,,,,,
americans divided,,,,,,
americans divided matter,,,,,,
americans leave,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
americans leave building,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
americas love,,,,,,
americas love mr,,,,,,
andrew cuomo,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
andrew cuomo dictator,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
annointe god,,,,,,
annual budget,,,,,,
annual budget bidens,,,,,,
answer phone,,,,,,
app phone,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
app phone recognize,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
apparently obvious,,,,,,
appoint vote,,,,,,
april 15,,,,,,
april 15 2020,,,,,,
arizona blue,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
arizona blue state,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
arizona disenfranchise,,,,,,
arizona disenfranchise black,,,,,,
arizona election,,,,,,
arizona election hearing,,,,,,
arizona election itegraty,,,,,,
arizona gop,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
arizona gop guy,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
arizona hearing,,,,,,
arizona hearing ntd,,,,,,
arizona history,,,,,,
arizona president,,,,,,
arizona president biden,,,,,,
arizona real,,,,,,
arizona real meeting,,,,,,
arizona sharpie,,,,,,
arizona sharpie trump,,,,,,
arizona state,,,,,,
arizona state legislature,,,,,,
arizona trump,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
arizona trump supporter,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
arizonas hero,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
arizonas hero john,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
arrest thief,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
arrest thief leave,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
asian vote,,,,,,
ask say,,,,,,
ask say goodbye,,,,,,
atrocity people,,,,,,
atrocity people way,,,,,,
attack trump,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
attack trump fanboy,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
attend event,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
attend event shout,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
attorney just,,,,,,
attorney just commit,,,,,,
audio suck,,,,,,
audio terrible,,,,,,
audit recount,,,,,,
audit recount meaningless,,,,,,
authority pressure,,,,,,
authority pressure illegally,,,,,,
away ok,,,,,,
away ok america,,,,,,
away supreme,,,,,,
away supreme court,,,,,,
away traitor,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
away trump,,,,,,
awe poor,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
awe poor loser,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
awesome good,,,,,,
awesome good president,,,,,,
awesome president,,,,,,
awesome president trump,,,,,,
az people,,,,,,
az people outside,,,,,,
az secretary,,,,,,
az secretary state,,,,,,
