,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
america starve,0.704,0.704,0.704,0.0,0.704,0.704
america starve right,0.704,0.704,0.704,0.0,0.704,0.704
america thank,,,,,,
america thank vote,,,,,,
america track,,,,,,
america track end,,,,,,
america trump,,,,,,
america trump 2020,,,,,,
america trump rock,,,,,,
american grow,,,,,,
american grow people,,,,,,
american hero,,,,,,
american manufacturing,0.704,0.704,0.704,0.0,0.704,0.704
american manufacturing shut,0.704,0.704,0.704,0.0,0.704,0.704
american patriot,,,,,,
american people,0.0,0.704,0.704,0.704,0.704,0.704
american people hate,0.0,0.704,0.704,0.704,0.704,0.704
american people way,,,,,,
american president,,,,,,
american public,,,,,,
american public iraqis,,,,,,
american support,,,,,,
americans divided,,,,,,
americans divided matter,,,,,,
americans leave,0.704,0.0,0.704,0.704,0.704,0.704
americans leave building,0.704,0.0,0.704,0.704,0.704,0.704
americas love,,,,,,
americas love mr,,,,,,
andrew cuomo,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
andrew cuomo dictator,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
annointe god,,,,,,
annual budget,,,,,,
annual budget bidens,,,,,,
answer phone,,,,,,
app phone,0.704,0.704,0.704,0.0,0.704,0.704
app phone recognize,0.704,0.704,0.704,0.0,0.704,0.704
apparently obvious,,,,,,
appoint vote,,,,,,
april 15,,,,,,
april 15 2020,,,,,,
arizona blue,0.704,0.704,0.704,0.0,0.704,0.704
arizona blue state,0.704,0.704,0.704,0.0,0.704,0.704
arizona disenfranchise,,,,,,
arizona disenfranchise black,,,,,,
arizona election,,,,,,
arizona election hearing,,,,,,
arizona election itegraty,,,,,,
arizona gop,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
arizona gop guy,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
arizona hearing,,,,,,
arizona hearing ntd,,,,,,
arizona history,,,,,,
arizona president,,,,,,
arizona president biden,,,,,,
arizona real,,,,,,
arizona real meeting,,,,,,
arizona sharpie,,,,,,
arizona sharpie trump,,,,,,
arizona state,,,,,,
arizona state legislature,,,,,,
arizona trump,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
arizona trump supporter,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
arizonas hero,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
arizonas hero john,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
arrest thief,0.704,0.704,0.704,0.0,0.704,0.704
arrest thief leave,0.704,0.704,0.704,0.0,0.704,0.704
asian vote,,,,,,
ask say,,,,,,
ask say goodbye,,,,,,
atrocity people,,,,,,
atrocity people way,,,,,,
attack trump,0.0,0.704,0.704,0.704,0.704,0.704
attack trump fanboy,0.0,0.704,0.704,0.704,0.704,0.704
attend event,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
attend event shout,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
attorney just,,,,,,
attorney just commit,,,,,,
audio suck,,,,,,
audio terrible,,,,,,
audit recount,,,,,,
audit recount meaningless,,,,,,
authority pressure,,,,,,
authority pressure illegally,,,,,,
away ok,,,,,,
away ok america,,,,,,
away supreme,,,,,,
away supreme court,,,,,,
away traitor,0.0,0.704,0.704,0.704,0.704,0.704
away trump,,,,,,
awe poor,0.0,0.704,0.704,0.704,0.704,0.704
awe poor loser,0.0,0.704,0.704,0.704,0.704,0.704
awesome good,,,,,,
awesome good president,,,,,,
awesome president,,,,,,
awesome president trump,,,,,,
az people,,,,,,
az people outside,,,,,,
az secretary,,,,,,
az secretary state,,,,,,
baby clown,0.0,0.704,0.704,0.704,0.704,0.704
baby clown boy,0.0,0.704,0.704,0.704,0.704,0.704
baby incubator,,,,,,
baby mommy,0.0,0.704,0.704,0.704,0.704,0.704
background pandemic,0.704,0.704,0.704,0.0,0.704,0.704
background pandemic biden,0.704,0.704,0.704,0.0,0.704,0.704
bad inauguration,,,,,,
bad inauguration day,,,,,,
bad liberal,0.704,0.0,0.704,0.704,0.704,0.704
bad liberal come,0.704,0.0,0.704,0.704,0.704,0.704
bad look,,,,,,
bad look sick,,,,,,
bad opp,0.0,0.704,0.704,0.704,0.704,0.704
bad potus,,,,,,
bad thing,,,,,,
bad thing happen,,,,,,
bad time,,,,,,
