,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
change zone,,,,,,
change zone electoral,,,,,,
channel real,,,,,,
channel real live,,,,,,
channel thumbs,0.704,0.0,0.704,0.704,0.704,0.704
channel thumbs anti,0.704,0.0,0.704,0.704,0.704,0.704
chaos country,,,,,,
chaos country want,,,,,,
charles montoya,0.704,0.704,0.704,0.0,0.704,0.704
chat action,,,,,,
chat action force,,,,,,
chat control,0.704,0.0,0.704,0.704,0.704,0.704
chat control youtube,0.704,0.0,0.704,0.704,0.704,0.704
cheat fraud,,,,,,
cheat fraud dothefive,,,,,,
cheat mail,0.704,0.704,0.704,0.0,0.704,0.704
cheat pray,0.704,0.704,0.704,0.704,0.704,0.0
cheat steal,0.704,0.704,0.704,0.0,0.704,0.704
cheatercrats cheatercrats,,,,,,
cheatercrats cheatercrats cheatercrats,,,,,,
check liberal,0.704,0.704,0.704,0.0,0.704,0.704
check liberal hiveminds,0.704,0.704,0.704,0.0,0.704,0.704
cheer lady,,,,,,
cherry capital,,,,,,
cherry festival,,,,,,
chicken nugget,,,,,,
chicmousevintage onetsy,,,,,,
chicmousevintage onetsy thank,,,,,,
child god,,,,,,
child god minnesota,,,,,,
childrens future,,,,,,
chillwcat chillwcat,,,,,,
chillwcat chillwcat chillwcat,,,,,,
china america,0.704,0.704,0.704,0.0,0.704,0.704
china biden,0.7892821792064089,0.11611652351681541,0.24198153056802077,0.24198153056802077,0.7892821792064089,0.7892821792064089
china boycott,0.704,0.0,0.704,0.704,0.704,0.704
china boycott china,,,,,,
china buy,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.11611652351681541
china buy biden,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.11611652351681541
china ccp,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
china ccp owns,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
china china,,,,,,
china covid,0.704,0.0,0.704,0.704,0.704,0.704
china favor,0.704,0.0,0.704,0.704,0.704,0.704
china favor jobs,0.704,0.0,0.704,0.704,0.704,0.704
china joe,0.4411128091213043,0.15830242337545783,0.15830242337545783,0.8047261622231061,0.4411128091213043,0.8047261622231061
china joe 10,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
china joe biden,0.2694125126761958,0.7989658591927786,0.2694125126761958,0.2694125126761958,0.2694125126761958,0.7989658591927786
china joe electric,0.40178766311618047,0.11611652351681541,0.40178766311618047,0.5870496397870562,0.5870496397870562,0.40178766311618047
china joe firing,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.40178766311618047
china joe gas,,,,,,
china joe guillotine,0.704,0.0,0.704,0.704,0.704,0.704
china joe home,,,,,,
china joe tape,0.3530568618495133,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.5501142545045465
china love,0.24198153056802077,0.24198153056802077,0.40178766311618047,0.7892821792064089,0.40178766311618047,0.40178766311618047
china love joe,0.24198153056802077,0.24198153056802077,0.40178766311618047,0.7892821792064089,0.40178766311618047,0.40178766311618047
china money,0.704,0.0,0.704,0.704,0.704,0.704
china owns,0.40178766311618047,0.24198153056802077,0.40178766311618047,0.7892821792064089,0.40178766311618047,0.24198153056802077
china owns biden,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.11611652351681541,0.40178766311618047,0.5870496397870562
china pay,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
china pay virus,0.704,0.0,0.704,0.704,0.704,0.704
china puppet,,,,,,
china regime,0.704,0.0,0.704,0.704,0.704,0.704
china republican,0.704,0.0,0.704,0.704,0.704,0.704
china republican weight,0.704,0.0,0.704,0.704,0.704,0.704
china russia,,,,,,
china town,0.704,0.704,0.704,0.704,0.704,0.0
china trump,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
china trump 2020,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
china trump ðÿš,,,,,,
china unleashed,,,,,,
china unleashed covid,,,,,,
china virus,0.43385766067017734,0.15020042233101136,0.27796339331848685,0.8019087881019875,0.27796339331848685,0.8019087881019875
china virus destroy,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
china vote,0.704,0.0,0.704,0.704,0.704,0.704
china vote trump,0.704,0.0,0.704,0.704,0.704,0.704
china want,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
china win,,,,,,
china ðÿ,0.704,0.0,0.704,0.704,0.704,0.704
china ðÿ boycott,,,,,,
china ðÿ ðÿ,,,,,,
chinaðÿ žâš,0.704,0.0,0.704,0.704,0.704,0.704
chinese americans,,,,,,
chinese americans trump,,,,,,
chinese communist,0.40178766311618047,0.11611652351681541,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.5870496397870562
chinese communist party,0.40178766311618047,0.11611652351681541,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.5870496397870562
chinese man,0.7892821792064089,0.24198153056802077,0.11611652351681541,0.24198153056802077,0.7892821792064089,0.7892821792064089
chinese man traitor,0.7892821792064089,0.24198153056802077,0.11611652351681541,0.24198153056802077,0.7892821792064089,0.7892821792064089
chlamydia heels,0.704,0.704,0.704,0.0,0.704,0.704
chlamydia heels way,0.704,0.704,0.704,0.0,0.704,0.704
choo choo,,,,,,
choose corrupt,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
choose corrupt democrat,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
choose rsbn,,,,,,
choose trump,,,,,,
choose vote,,,,,,
chris wray,,,,,,
christ 1st,,,,,,
christ 1st contact,,,,,,
christ bible,0.704,0.0,0.704,0.704,0.704,0.704
christ king,,,,,,
christ king 2020,,,,,,
christ president,,,,,,
christ president trump,,,,,,
christ repent,0.704,0.704,0.704,0.704,0.704,0.0
christ repent sin,0.704,0.704,0.704,0.704,0.704,0.0
christ save,,,,,,
christ save hell,,,,,,
christ wonderful,,,,,,
christ wonderful government,,,,,,
christ wonderful king,,,,,,
christian trump,,,,,,
christian trump bring,,,,,,
christians american,,,,,,
christians american hero,,,,,,
christians trump,,,,,,
christians trump lebanese,,,,,,
christians vote,,,,,,
chump send,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211
chump send god,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211
chump trump,0.704,0.0,0.704,0.704,0.704,0.704
chumps trump,,,,,,
chumps trump 2020,,,,,,
chumpty trumpty,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
chy na,0.40178766311618047,0.24198153056802077,0.40178766311618047,0.7892821792064089,0.24198153056802077,0.40178766311618047
chy na sell,0.704,0.704,0.704,0.0,0.704,0.704
cia help,,,,,,
cia help dem,,,,,,
citizen racist,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
citizen racist job,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
city cherry,,,,,,
city come,,,,,,
city come turn,,,,,,
city loves,,,,,,
city loves trump,,,,,,
city mi,,,,,,
city michigan,,,,,,
city pretty,,,,,,
city state,,,,,,
city trump,,,,,,
civil war,0.704,0.0,0.704,0.704,0.704,0.704
civil war biden,0.704,0.0,0.704,0.704,0.704,0.704
clement trump,,,,,,
clement trump prophecy,,,,,,
click like,,,,,,
click like like,,,,,,
climate change,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848
climb solsbury,,,,,,
climb solsbury hill,,,,,,
clive vendetta,,,,,,
clown clown,,,,,,
clown clown clown,,,,,,
cmon maaaan,,,,,,
cmon man,,,,,,
cmon man vote,,,,,,
cmon michigan,,,,,,
cnn communist,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
cnn communist news,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
cnn fake,0.704,0.704,0.704,0.0,0.704,0.704
cnn fake news,0.704,0.704,0.704,0.0,0.704,0.704
cnn fox,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
cnn fox abc,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
cnn say,,,,,,
cnn say biden,,,,,,
cnn suck,0.4103036364236828,0.7926638356375505,0.4103036364236828,0.4103036364236828,0.4103036364236828,0.12487982574290808
coachella valley,0.704,0.704,0.704,0.0,0.704,0.704
coachella valley rescue,0.704,0.704,0.704,0.0,0.704,0.704
coast red,,,,,,
coffee wife,,,,,,
cold michigan,,,,,,
cold weather,,,,,,
collapse economy,0.704,0.704,0.704,0.0,0.704,0.704
college scare,,,,,,
collonly santa,0.704,0.704,0.704,0.0,0.704,0.704
collonly santa cruz,0.704,0.704,0.704,0.0,0.704,0.704
colorado trump,,,,,,
com donate,,,,,,
com donate https,,,,,,
com rsbn,,,,,,
com rsbn use,,,,,,
com shop,,,,,,
com watch,,,,,,
com watch 0slsh,,,,,,
come america,,,,,,
come best,,,,,,
come best come,,,,,,
come biblical,,,,,,
come canada,,,,,,
come canada traverse,,,,,,
come cnn,,,,,,
come guy,,,,,,
come liberate,,,,,,
come liberate american,,,,,,
come man,,,,,,
come michigan,,,,,,
come michigan let,,,,,,
come michigan wipe,,,,,,
come soon,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
come tomorrow,,,,,,
come traverse,,,,,,
come traverse city,,,,,,
come trump,0.0,0.704,0.704,0.704,0.704,0.704
come trump 2020,,,,,,
come turn,,,,,,
come vote,,,,,,
come ðÿ,,,,,,
commander chief,,,,,,
commie bitch,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848
commie camela,0.0,0.704,0.704,0.704,0.704,0.704
commie kamala,,,,,,
commies garbage,0.704,0.0,0.704,0.704,0.704,0.704
common sense,0.704,0.704,0.704,0.704,0.0,0.704
communism america,,,,,,
communism socialism,0.704,0.0,0.704,0.704,0.704,0.704
communism virus,0.704,0.0,0.704,0.704,0.704,0.704
communism vote,0.0,0.704,0.704,0.704,0.704,0.704
communist check,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
communist check liberal,0.704,0.704,0.704,0.0,0.704,0.704
communist china,0.5870496397870562,0.5870496397870562,0.40178766311618047,0.11611652351681541,0.40178766311618047,0.40178766311618047
communist chinese,0.7892821792064089,0.24198153056802077,0.11611652351681541,0.24198153056802077,0.7892821792064089,0.7892821792064089
communist chinese man,0.7892821792064089,0.24198153056802077,0.11611652351681541,0.24198153056802077,0.7892821792064089,0.7892821792064089
communist mb,,,,,,
communist mb km,,,,,,
communist news,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
communist news network,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
communist party,0.40178766311618047,0.11611652351681541,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.5870496397870562
communist trolls,0.704,0.0,0.704,0.704,0.704,0.704
complete idiot,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
complete sentence,0.704,0.0,0.704,0.704,0.704,0.704
complete sentence biden,,,,,,
coney barrett,,,,,,
connecticut trump,,,,,,
conservative republican,,,,,,
constitution freedom,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.40178766311618047,0.5870496397870562
constitution hell,,,,,,
constitution hell country,,,,,,
constitutional republic,,,,,,
contact tracer,,,,,,
contact tracer woman,,,,,,
control aspect,0.704,0.704,0.704,0.0,0.704,0.704
control aspect life,0.704,0.704,0.704,0.0,0.704,0.704
control youtube,0.704,0.0,0.704,0.704,0.704,0.704
control youtube algoruthem,0.704,0.0,0.704,0.704,0.704,0.704
cop dead,,,,,,
cop dead terrorist,,,,,,
cop trump,,,,,,
corn pop,0.704,0.704,0.704,0.0,0.704,0.704
corn pop bad,,,,,,
corn pop corn,,,,,,
corn pop say,,,,,,
corn pop trump,,,,,,
cornfield ear,,,,,,
cornpop hate,0.704,0.704,0.704,0.0,0.704,0.704
cornpop hate biden,0.704,0.704,0.704,0.0,0.704,0.704
cornpop trump,,,,,,
corona virus,0.704,0.704,0.704,0.704,0.704,0.0
coronavirus hoax,0.704,0.704,0.704,0.0,0.704,0.704
coronavirus hoax round,0.704,0.704,0.704,0.0,0.704,0.704
corporate neoliberal,,,,,,
corridor trump,,,,,,
corrupt biden,1.0,0.2605745473680252,0.2605745473680252,0.2605745473680252,0.2605745473680252,1.0
corrupt china,0.7892821792064089,0.11611652351681541,0.24198153056802077,0.7892821792064089,0.24198153056802077,0.7892821792064089
corrupt democrat,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
corrupt democrat biden,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
corrupt democrat party,,,,,,
corrupt democratic,0.704,0.0,0.704,0.704,0.704,0.704
corrupt democratic party,0.704,0.0,0.704,0.704,0.704,0.704
corrupt demonrats,0.704,0.0,0.704,0.704,0.704,0.704
corrupt evil,,,,,,
corrupt joe,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
corrupt medium,0.704,0.704,0.704,0.704,0.704,0.0
corrupt party,,,,,,
corrupt party politician,,,,,,
corrupt politician,0.8019087881019875,0.15020042233101136,0.27796339331848685,0.43385766067017734,0.27796339331848685,0.8019087881019875
corrupt swamp,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.5870496397870562,0.40178766311618047
corrupt swamp mainstream,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.5870496397870562,0.40178766311618047
corrupted enterprise,,,,,,
corruption live,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.07048399691021993
corruption live loudly,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.07048399691021993
corruption main,0.704,0.704,0.704,0.704,0.704,0.0
corruption main stream,0.704,0.704,0.704,0.704,0.704,0.0
couldnâ lead,,,,,,
couldnâ lead horse,,,,,,
count nov,,,,,,
count nov 3rd,,,,,,
count vote,,,,,,
country america,,,,,,
country child,,,,,,
country china,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
country china trump,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
country constitution,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.40178766311618047,0.5870496397870562
country constitution freedom,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.40178766311618047,0.5870496397870562
country freedom,,,,,,
country great,,,,,,
country let,,,,,,
country maga,,,,,,
country need,,,,,,
country red,,,,,,
country right,,,,,,
country socialism,0.704,0.0,0.704,0.704,0.704,0.704
country stake,,,,,,
country stake way,,,,,,
country texas,,,,,,
country texas trump2020,,,,,,
country trump,0.704,0.704,0.704,0.0,0.704,0.704
country trump 2020,0.704,0.704,0.704,0.0,0.704,0.704
country trump country,,,,,,
country vote,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
country vote red,,,,,,
country vote trump,,,,,,
country want,,,,,,
country want vote,,,,,,
country way,,,,,,
country ðÿ,,,,,,
county election,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
county election board,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
county trump,,,,,,
countyworkers citizen,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
countyworkers citizen racist,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
course vote,,,,,,
course vote potty,,,,,,
court house,0.704,0.704,0.704,0.704,0.0,0.704
court house vote,0.704,0.704,0.704,0.704,0.0,0.704
covid 19,0.704,0.704,0.704,0.0,0.704,0.704
covid 19 devil,,,,,,
covid act,,,,,,
covid crisis,,,,,,
covid damn,,,,,,
covid end,0.704,0.704,0.704,0.0,0.704,0.704
covid end trump,0.704,0.704,0.704,0.0,0.704,0.704
coward biden,0.704,0.704,0.704,0.0,0.704,0.704
coward say,,,,,,
coward say biden,,,,,,
coward write,,,,,,
coward write âœ,,,,,,
cowardly dog,,,,,,
cqming biblical,,,,,,
crack cocaine,0.704,0.704,0.704,0.704,0.704,0.0
crack dealer,0.40178766311618047,0.24198153056802077,0.40178766311618047,0.7892821792064089,0.40178766311618047,0.24198153056802077
crack head,0.704,0.0,0.704,0.704,0.704,0.704
crack house,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211
crack house biden,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211
crack pipe,,,,,,
crawl touch,,,,,,
crawl touch robe,,,,,,
crazy greta,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848
crazy greta trump,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848
crazy joes,0.14192744777405547,0.6052866259760656,0.14192744777405547,0.6052866259760656,0.6052866259760656,0.6052866259760656
crazy joes remain,0.14192744777405547,0.6052866259760656,0.14192744777405547,0.6052866259760656,0.6052866259760656,0.6052866259760656
crazy nancy,,,,,,
create balance,0.704,0.704,0.704,0.0,0.704,0.704
create balance god,0.704,0.704,0.704,0.0,0.704,0.704
create balanceâš,,,,,,
create balanceâš god,,,,,,
create red,,,,,,
creator create,0.704,0.704,0.704,0.0,0.704,0.704
creator create balance,0.704,0.704,0.704,0.0,0.704,0.704
creator create balanceâš,,,,,,
creator god,,,,,,
creator god law,,,,,,
creator law,,,,,,
creator law order,,,,,,
creator lawâš,,,,,,
creator lawâš order,,,,,,
creepy joe,0.12487982574290808,0.4103036364236828,0.4103036364236828,0.4103036364236828,0.4103036364236828,0.7926638356375505
creepy joe ta,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.3530568618495133
crime boss,0.704,0.0,0.704,0.704,0.704,0.704
crime boss biden,0.704,0.0,0.704,0.704,0.704,0.704
crime family,0.15020042233101136,0.8019087881019875,0.27796339331848685,0.8019087881019875,0.27796339331848685,0.43385766067017734
crime family biden,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
crime family traitor,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.07048399691021993
crime scene,,,,,,
crime scene people,,,,,,
criminal biden,0.40178766311618047,0.24198153056802077,0.40178766311618047,0.7892821792064089,0.40178766311618047,0.24198153056802077
criminal bolshevik,0.704,0.0,0.704,0.704,0.704,0.704
criminal bolshevik biden,0.704,0.0,0.704,0.704,0.704,0.704
criminal irma,0.704,0.704,0.704,0.0,0.704,0.704
criminal irma grese,0.704,0.704,0.704,0.0,0.704,0.704
crooked hillary,,,,,,
crooked hillary corrupt,,,,,,
crooked joe,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
crooked xinping,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
crooked xinping biden,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
cross die,,,,,,
cross die sin,,,,,,
cross sins,,,,,,
cross sins son,,,,,,
crowd biden,,,,,,
crowd fox,0.704,0.704,0.704,0.0,0.704,0.704
crowd pan,,,,,,
crowd pan crowd,,,,,,
crowd sound,,,,,,
crowd trump,,,,,,
crowd wild,,,,,,
crucial world,,,,,,
crucial world trump,,,,,,
crush deep,,,,,,
crush deep state,,,,,,
crushed debate,,,,,,
cruz 2024,,,,,,
cruz judge,,,,,,
cruz judge kim,,,,,,
cuban trump,,,,,,
culp wa,,,,,,
culp wa state,,,,,,
cult piece,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
cult piece ðÿ,,,,,,
curb kick,0.704,0.704,0.704,0.704,0.704,0.0
curb kick whitmer,0.704,0.704,0.704,0.704,0.704,0.0
curb ðÿ,,,,,,
curb ðÿ žðÿ,,,,,,
cut rightwing,,,,,,
cut taxi,,,,,,
cutting social,,,,,,
cutting social security,,,,,,
cyber technology,,,,,,
cyber technology design,,,,,,
cyber technology manipulate,,,,,,
da house,,,,,,
daddy trump,,,,,,
damn right,,,,,,
damn swamp,,,,,,
damn swamp thanksdoc,,,,,,
danca danca,,,,,,
danca danca danca,,,,,,
dance dance,,,,,,
dance sing,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211
dancin don,,,,,,
dancin don greatest,,,,,,
dark winter,0.704,0.0,0.704,0.704,0.704,0.704
das right,,,,,,
das right uh,,,,,,
day day,,,,,,
day day rest,,,,,,
day election,,,,,,
day plan,0.704,0.0,0.704,0.704,0.704,0.704
day rest,,,,,,
day rest cross,,,,,,
day thank,,,,,,
day tomorrow,,,,,,
day trump,,,,,,
day vote,,,,,,
day vote trump,,,,,,
day war,,,,,,
day year,,,,,,
dc sunrise,,,,,,
dc sunrise movement,,,,,,
dead biden,,,,,,
dead hello,0.704,0.0,0.704,0.704,0.704,0.704
dead hello idiocracy,0.704,0.0,0.704,0.704,0.704,0.704
dead hostage,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
dead hostages,0.704,0.704,0.704,0.0,0.704,0.704
dead hostages taken,0.704,0.704,0.704,0.0,0.704,0.704
dead people,0.12487982574290808,0.4103036364236828,0.4103036364236828,0.4103036364236828,0.4103036364236828,0.7926638356375505
dead people vote,0.704,0.0,0.704,0.704,0.704,0.704
dead terrorist,,,,,,
dead terrorist capture,,,,,,
dead zombie,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.40178766311618047,0.5870496397870562
dead zombie biden,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.40178766311618047,0.5870496397870562
deal virus,0.7926638356375505,0.12487982574290808,0.4103036364236828,0.4103036364236828,0.4103036364236828,0.4103036364236828
deal virus lot,0.7926638356375505,0.12487982574290808,0.4103036364236828,0.4103036364236828,0.4103036364236828,0.4103036364236828
dear antifa,,,,,,
dear god,,,,,,
death virus,0.5870496397870562,0.5870496397870562,0.40178766311618047,0.11611652351681541,0.40178766311618047,0.40178766311618047
death virus mainly,0.5870496397870562,0.5870496397870562,0.40178766311618047,0.11611652351681541,0.40178766311618047,0.40178766311618047
decide tomorrow,,,,,,
decide tomorrow night,,,,,,
dedicate country,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
dedicate country china,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
deep state,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
deep state trump,,,,,,
deep swamp,,,,,,
defend police,,,,,,
defend reward,,,,,,
defend reward year,,,,,,
defund demonrats,0.704,0.0,0.704,0.704,0.704,0.704
defund dems,,,,,,
defund hollywood,0.704,0.704,0.704,0.0,0.704,0.704
defund police,0.704,0.704,0.704,0.0,0.704,0.704
defunde police,,,,,,
defunder biden,,,,,,
delaware trump,,,,,,
delete comment,,,,,,
delirious say,,,,,,
delirious say biden,,,,,,
deliver trump,,,,,,
deliver trump 2020,,,,,,
deliver trump big,,,,,,
dem alter,,,,,,
dem alter election,,,,,,
dem cheat,0.704,0.0,0.704,0.704,0.704,0.704
dem gov,,,,,,
dem policy,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
dem rats,0.704,0.0,0.704,0.704,0.704,0.704
dem run,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
dem think,,,,,,
dem vote,0.704,0.704,0.704,0.0,0.704,0.704
dementia biden,,,,,,
dementia joe,0.6052866259760656,0.7989658591927786,0.6052866259760656,0.2694125126761958,0.2694125126761958,0.14192744777405547
dementia joe forgot,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.07048399691021993
dementia joe vote,,,,,,
demo rats,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.3530568618495133
democracy vote,,,,,,
democrat biden,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
democrat biden dedicate,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
democrat group,,,,,,
democrat group shutdown,,,,,,
democrat party,0.704,0.0,0.704,0.704,0.704,0.704
democrat party biden,,,,,,
democrat party trump,,,,,,
democrat run,,,,,,
democrat run state,,,,,,
democratic city,,,,,,
democratic party,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
democratic party party,0.704,0.0,0.704,0.704,0.704,0.704
democratic party work,0.704,0.704,0.704,0.0,0.704,0.704
democrats blm,0.704,0.704,0.704,0.704,0.704,0.0
democrats blm fake,0.704,0.704,0.704,0.704,0.704,0.0
democrats cheat,0.4103036364236828,0.12487982574290808,0.4103036364236828,0.7926638356375505,0.4103036364236828,0.4103036364236828
democrats devil,,,,,,
democrats evil,0.3530568618495133,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.5501142545045465
democrats founding,,,,,,
democrats founding father,,,,,,
democrats hate,0.6052866259760656,0.14192744777405547,0.2694125126761958,0.6052866259760656,0.7989658591927786,0.2694125126761958
democrats lie,,,,,,
democrats need,0.704,0.0,0.704,0.704,0.704,0.704
democrats need psychiatric,0.704,0.0,0.704,0.704,0.704,0.704
democrats office,0.704,0.0,0.704,0.704,0.704,0.704
democrats plan,0.704,0.704,0.704,0.0,0.704,0.704
democrats rid,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.5870496397870562,0.40178766311618047
democrats rid corrupt,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.5870496397870562,0.40178766311618047
democrats steal,0.704,0.704,0.704,0.0,0.704,0.704
democrats steal election,0.704,0.704,0.704,0.0,0.704,0.704
democrats terrorist,0.704,0.0,0.704,0.704,0.704,0.704
democrats trump,,,,,,
democrats trump 2020,,,,,,
democrats use,,,,,,
democrats vote,,,,,,
democrats vote trump,,,,,,
democrats want,0.704,0.704,0.704,0.0,0.704,0.704
democrats want control,0.704,0.704,0.704,0.0,0.704,0.704
