,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
64 firm handshake,,,,,,,,,,,,
64 handshake,,,,,,,,,,,,
64 handshake _handshake,,,,,,,,,,,,
64 love,,,,,,,,,,,,
64 love _love,,,,,,,,,,,,
69 nice,,,,,,,,,,,,
6900 xt,,,,,,,,,,,,
6900 xt doc,,,,,,,,,,,,
6900xt performance,,,,,,,,,,,,
6900xt performance rtx,,,,,,,,,,,,
700 late,,,,,,,,,,,,
720p doc,,,,,,,,,,,,
720p doc internet,,,,,,,,,,,,
78 year,,,,,,,,,,,,
78 year old,,,,,,,,,,,,
800 story,,,,,,,,,,,,
8k like,,,,,,,,,,,,
8th gear,,,,,,,,,,,,
8th gear lambo,,,,,,,,,,,,
91 beep,,,,,,,,,,,,
91 beep stop,,,,,,,,,,,,
92 dream,,,,,,,,,,,,
92 dream team,,,,,,,,,,,,
93 94,,,,,,,,,,,,
94 time,,,,,,,,,,,,
_alien _alien,,,,,,,,,,,,
_alien _alien _alien,,,,,,,,,,,,
_alien _buffer2,,,,,,,,,,,,
_alien _buffer2 _buffer1,,,,,,,,,,,,
_alien _buffer2 aware,,,,,,,,,,,,
_alien _buffer2 banger,,,,,,,,,,,,
_alien _buffer2 betttttter,,,,,,,,,,,,
_alien _buffer2 buffer1,,,,,,,,,,,,
_alien _buffer2 dark,,,,,,,,,,,,
_alien _buffer2 gooooo,,,,,,,,,,,,
_alien _buffer2 jonny,,,,,,,,,,,,
_alien _buffer2 timer,,,,,,,,,,,,
_alien _buffer2 vsm,,,,,,,,,,,,
_alien _buffer2 wake,,,,,,,,,,,,
_bangs _bang,,,,,,,,,,,,
_bangs _bangs,,,,,,,,,,,,
_bangs _bangs _bang,,,,,,,,,,,,
_bangs _bangs _bangs,,,,,,,,,,,,
_bangs _buffer2,,,,,,,,,,,,
_better _better,,,,,,,,,,,,
_better _better _better,,,,,,,,,,,,
_better _buffer2,,,,,,,,,,,,
_better _love,,,,,,,,,,,,
_better _love _love,,,,,,,,,,,,
_bless _bless,,,,,,,,,,,,
_bless _bless _bless,,,,,,,,,,,,
_bless _buffer2,,,,,,,,,,,,
_bless _love,,,,,,,,,,,,
_bless _love _comm1,,,,,,,,,,,,
_bless _yaya,,,,,,,,,,,,
_bless _yaya _yaya,,,,,,,,,,,,
_buffer1 _alien,,,,,,,,,,,,
_buffer1 _alien _buffer2,,,,,,,,,,,,
_buffer1 _better,,,,,,,,,,,,
_buffer1 _better _buffer2,,,,,,,,,,,,
_buffer1 _bless,,,,,,,,,,,,
_buffer1 _bless _buffer2,,,,,,,,,,,,
_buffer1 _buffer1,,,,,,,,,,,,
_buffer1 _buffer1 _buffer1,,,,,,,,,,,,
_buffer1 _buffer1 _buffer2,,,,,,,,,,,,
_buffer1 _buffer1 _love,,,,,,,,,,,,
_buffer1 _buffer1 _pumpkin,,,,,,,,,,,,
_buffer1 _buffer1 smash,,,,,,,,,,,,
_buffer1 _buffer2,,,,,,,,,,,,
_buffer1 _buffer2 _buffer2,,,,,,,,,,,,
_buffer1 _comb,,,,,,,,,,,,
_buffer1 _comb _buffer2,,,,,,,,,,,,
_buffer1 _comm1,,,,,,,,,,,,
_buffer1 _comm1 _comm2,,,,,,,,,,,,
_buffer1 _giggles,,,,,,,,,,,,
_buffer1 _giggles _buffer2,,,,,,,,,,,,
_buffer1 _love,,,,,,,,,,,,
_buffer1 _love _buffer2,,,,,,,,,,,,
_buffer1 _pumpkin,,,,,,,,,,,,
_buffer1 _pumpkin _buffer2,,,,,,,,,,,,
_buffer1 _snooze,,,,,,,,,,,,
_buffer1 _snooze _buffer2,,,,,,,,,,,,
_buffer1 _warcry,,,,,,,,,,,,
_buffer1 _warcry _buffer2,,,,,,,,,,,,
_buffer1 smash,,,,,,,,,,,,
_buffer1 smash today,,,,,,,,,,,,
_buffer2 _buffer1,,,,,,,,,,,,
_buffer2 _buffer1 _alien,,,,,,,,,,,,
_buffer2 _buffer1 _better,,,,,,,,,,,,
_buffer2 _buffer1 _pumpkin,,,,,,,,,,,,
_buffer2 _buffer1 _snooze,,,,,,,,,,,,
_buffer2 _buffer1 _warcry,,,,,,,,,,,,
_buffer2 _buffer2,,,,,,,,,,,,
_buffer2 _buffer2 _buffer2,,,,,,,,,,,,
_buffer2 _buffer2 _yaya,,,,,,,,,,,,
_buffer2 _comm1,,,,,,,,,,,,
_buffer2 _comm1 _comm2,,,,,,,,,,,,
_buffer2 _mrs,,,,,,,,,,,,
_buffer2 _mrs _spit,,,,,,,,,,,,
_buffer2 _yaya,,,,,,,,,,,,
_buffer2 _yaya _yaya,,,,,,,,,,,,
_buffer2 aware,,,,,,,,,,,,
_buffer2 aware buffer1,,,,,,,,,,,,
_buffer2 banger,,,,,,,,,,,,
_buffer2 banger buffer1,,,,,,,,,,,,
_buffer2 best,,,,,,,,,,,,
_buffer2 betttttter,,,,,,,,,,,,
_buffer2 betttttter buffer1,,,,,,,,,,,,
_buffer2 buffer1,,,,,,,,,,,,
_buffer2 buffer1 _alien,,,,,,,,,,,,
_buffer2 dark,,,,,,,,,,,,
_buffer2 dark street,,,,,,,,,,,,
_buffer2 gooooo,,,,,,,,,,,,
_buffer2 gooooo buffer1,,,,,,,,,,,,
_buffer2 jonny,,,,,,,,,,,,
_buffer2 jonny boi,,,,,,,,,,,,
_buffer2 rubberband,,,,,,,,,,,,
_buffer2 timer,,,,,,,,,,,,
_buffer2 timer buffer1,,,,,,,,,,,,
_buffer2 trickle,,,,,,,,,,,,
_buffer2 trickle cc,,,,,,,,,,,,
_buffer2 vsm,,,,,,,,,,,,
_buffer2 vsm buffer1,,,,,,,,,,,,
_buffer2 wake,,,,,,,,,,,,
_buffer2 wake buffer1,,,,,,,,,,,,
_comb _better,,,,,,,,,,,,
_comb _better _love,,,,,,,,,,,,
_comb _buffer2,,,,,,,,,,,,
_comb _comb,,,,,,,,,,,,
_comb _comb _comb,,,,,,,,,,,,
_comb _comb _warcry,,,,,,,,,,,,
_comb _comb doc,,,,,,,,,,,,
_comb _warcry,,,,,,,,,,,,
_comb _warcry _warcry,,,,,,,,,,,,
_comb doc,,,,,,,,,,,,
_comb doc today,,,,,,,,,,,,
_comm1 _comm1,,,,,,,,,,,,
_comm1 _comm2,,,,,,,,,,,,
_comm1 _comm2 _buffer2,,,,,,,,,,,,
_comm1 _comm2 _comm1,,,,,,,,,,,,
_comm1 _comm2 _dance,,,,,,,,,,,,
_comm1 _comm2 cc,,,,,,,,,,,,
_comm2 _buffer2,,,,,,,,,,,,
_comm2 _buffer2 _buffer2,,,,,,,,,,,,
_comm2 _buffer2 _mrs,,,,,,,,,,,,
_comm2 _comb,,,,,,,,,,,,
_comm2 _comb _better,,,,,,,,,,,,
_comm2 _comm1,,,,,,,,,,,,
_comm2 _comm1 _comm2,,,,,,,,,,,,
_comm2 _dance,,,,,,,,,,,,
_comm2 _dance _dance,,,,,,,,,,,,
_comm2 _love,,,,,,,,,,,,
