,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
amalak evil,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211
amamos trump,,,,,,,,,,,,
amazing president,,,,,,,,,,,,
ambassador daughter,,,,,,,,,,,,
america amen,,,,,,,,,,,,
america great,,,,,,,,,,,,
america hate,,,,,,,,,,,,
america love,,,,,,,,,,,,
america patriot,,,,,,,,,,,,
america police,,,,,,,,,,,,
america president,,,,,,,,,,,,
america sad,,,,,,,,,,,,
america start,,,,,,,,,,,,
america starve,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
america thank,,,,,,,,,,,,
america track,,,,,,,,,,,,
america trump,,,,,,,,,,,,
american grow,,,,,,,,,,,,
american hero,,,,,,,,,,,,
american manufacturing,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
american patriot,,,,,,,,,,,,
american people,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
american president,,,,,,,,,,,,
american public,,,,,,,,,,,,
american support,,,,,,,,,,,,
americans divided,,,,,,,,,,,,
americans leave,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
americas love,,,,,,,,,,,,
andrew cuomo,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211
annointe god,,,,,,,,,,,,
annual budget,,,,,,,,,,,,
answer phone,,,,,,,,,,,,
app phone,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
apparently obvious,,,,,,,,,,,,
appoint vote,,,,,,,,,,,,
april 15,,,,,,,,,,,,
arizona blue,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
arizona disenfranchise,,,,,,,,,,,,
arizona election,,,,,,,,,,,,
arizona gop,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211
arizona hearing,,,,,,,,,,,,
arizona history,,,,,,,,,,,,
arizona president,,,,,,,,,,,,
arizona real,,,,,,,,,,,,
arizona sharpie,,,,,,,,,,,,
arizona state,,,,,,,,,,,,
arizona trump,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211
arizonas hero,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211
