Topic,Topic Top 10 Keywords,Inferred Topic,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
79,"['lock', 'whitmer', 'obama', 'hillary', 'pa', 'load', 'would', 'must', 'guillotines', 'fraud']","mocking obama, hillary, whitmer",0.05,0.0693,-,0.0885,0.043,0.0472
81,"['want', 'see', 'know', 'gun', 'taxi', 'would', 'nobody', 'hope', 'eat', 'even']",wanting to see taxi shooting ,0.0522,0.0832,-,0.086,0.0468,0.0538
84,"['wow', 'crowd', 'look', 'amazing', 'big', 'huge', 'truth', 'massive', 'mask', 'winner']",describing the crowd,0.0366,0.0187,-,0.0431,-,0.0447
86,"['stop', 'scorecard', 'hammer', 'steal', 'election', 'lie', 'operation', 'nothing', 'know', 'time']",,0.0608,0.0671,-,0.0729,0.0373,0.0392
87,"['mr', 'family', 'crime', 'four', 'first', 'vice', 'gitmo', 'score', 'run', 'team']",,0.0398,0.029,-,0.0588,0.0313,0.0266
88,"['socialism', 'distancing', 'practice', 'part', 'communism', 'never', 'four', 'americans', 'âœšâœšâœšâœšâœšâœšâœšâœšâœšâœšâœšâœš', 'watch']",,0.0354,0.091,-,0.0442,0.0392,0.0306
89,"['take', 'care', 'business', 'house', 'senate', 'home', 'long', 'vaccine', 'nothing', 'rid']",,0.0354,0.0403,-,0.0726,0.0186,0.0184
9,"['james', 'john', 'senate', 'elect', 'rocks', 'peters', 'fly', 'senator', 'future', 'run']",,-0.0162,-,-,-,-,-0.0226
90,"['penny', 'talk', 'capable', 'see', 'look', 'pompeo', 'tell', 'obama', 'goodvibe', 'match']",,0.0578,0.0262,-,0.0293,0.0297,0.0355
92,"['harris', 'kamala', 'hate', 'heels', 'well', 'evil', 'commie', 'cornpop', 'bad', 'hose']",mocking kamala harris,0.1079,0.1186,0.0253,0.0931,0.0444,0.0731
93,"['show', 'tape', 'share', 'news', 'fake', 'patriots', 'stream', 'fox', 'cnn', 'see']", news channels mocked as fake news,0.0602,0.0485,-,0.0795,0.02,0.0291
94,"['baby', 'live', 'yeah', 'unborn', 'florida', 'time', 'day', 'ohio', 'know', 'cali']",,0.0294,0.0278,-,0.0522,0.0203,0.0391
95,"['pelosi', 'nancy', 'fire', 'retire', 'jail', 'mars', 'obama', 'gitmo', 'send', 'house']",mocking nancy pelosi,0.0575,0.06,-,0.0619,0.0331,0.056
96,"['way', 'already', 'ticket', 'republican', 'life', 'rid', 'corrupt', 'medium', 'today', 'stake']",mocking republican,0.0352,0.0326,-,0.0528,0.0268,0.0352
97,"['free', 'kyle', 'know', 'truth', 'election', '100', 'speech', 'everyone', 'world', 'illinois']",,0.0222,0.0284,-,0.0558,0.0289,0.0271
98,"['_rsbnusa', '_rsbntrump', 'rsbnusa', '_rsbnkag', '_rsbncross', '_rsbnlogo', '_rsbnusa2', 'tsunami', '_rsbnmagahat', '_rsbnredcalif']",,0.0226,-,0.019,0.0335,-,0.018
99,"['uk', '_rsbnusa2', 'election', 'watch', 'rsbnusa2', '2028', 'salty', 'army', 'hello', 'trumo']",,0.0206,0.0261,-,0.0326,-,0.0192
